Corelation ID,Module Name,Data Received by Platform,On-prem Workflow Start,On-prem Workflow End,Source De-id Start,Source De-id End,On-prem Module Start,On-prem Module End,Results De-id Start,Results De-id End,Upload Time (seconds),Cloud Workflow Start,Cloud Workflow End,RMA Source Dispatcher Start,RMA Source Dispatcher End,DICOM Source Dispatcher Start,DICOM Source Dispatcher End,Cloud Module Start,Cloud Module End,RMA Results Dispatcher Start,RMA Results Dispatcher End,Cloud Results Dispatch Start,Cloud Results Dispatch End,Download Time (seconds)
6b9efb00-d551-47d9-9fb7-ae89c3941d3b,HYPODENSITY,23/07/24 1:42:00 AM,23/07/24 1:43:00 PM,23/07/24 1:47:00 PM,23/07/24 1:44:00 PM,23/07/24 1:45:00 PM,23/07/24 1:43:00 PM,23/07/24 1:47:00 PM,,,1.49,23/07/24 1:45:00 PM,23/07/24 1:46:00 PM,,,,,23/07/24 1:45:00 PM,23/07/24 1:46:00 PM,,,23/07/24 1:46:00 PM,23/07/24 1:46:00 PM,63.376
677834d1-a889-4c80-9d88-3bd31ad977ae,ASPECTS,24/07/24 1:42:00 AM,23/07/24 1:43:00 PM,23/07/24 1:51:00 PM,23/07/24 1:45:00 PM,23/07/24 1:46:00 PM,23/07/24 1:43:00 PM,23/07/24 1:51:00 PM,,,1.291,23/07/24 1:46:00 PM,23/07/24 1:50:00 PM,,,,,23/07/24 1:46:00 PM,23/07/24 1:50:00 PM,,,23/07/24 1:50:00 PM,23/07/24 1:50:00 PM,21.394
56005afc-6e25-4d57-845a-272e93045f73,ICH,25/07/24 1:42:00 AM,23/07/24 1:43:00 PM,23/07/24 1:45:00 PM,23/07/24 1:43:00 PM,23/07/24 1:43:00 PM,23/07/24 1:43:00 PM,23/07/24 1:45:00 PM,,,1.435,23/07/24 1:43:00 PM,23/07/24 1:44:00 PM,,,,,23/07/24 1:43:00 PM,23/07/24 1:44:00 PM,,,23/07/24 1:44:00 PM,23/07/24 1:44:00 PM,54.421
4a5e8970-524e-4708-b6b6-e59fa59a121e,SDH,26/07/24 1:42:00 AM,23/07/24 1:43:00 PM,23/07/24 1:45:00 PM,23/07/24 1:44:00 PM,23/07/24 1:44:00 PM,23/07/24 1:43:00 PM,23/07/24 1:45:00 PM,,,2.139,23/07/24 1:44:00 PM,23/07/24 1:45:00 PM,,,,,23/07/24 1:44:00 PM,23/07/24 1:45:00 PM,,,23/07/24 1:45:00 PM,23/07/24 1:45:00 PM,20.194
f90664cd-2d60-4895-a466-9b4bbb435011,HYPERDENSITY,27/07/24 1:42:00 AM,23/07/24 1:43:00 PM,23/07/24 1:46:00 PM,23/07/24 1:43:00 PM,23/07/24 1:44:00 PM,23/07/24 1:43:00 PM,23/07/24 1:45:00 PM,,,2.4,23/07/24 1:44:00 PM,23/07/24 1:45:00 PM,,,,,23/07/24 1:44:00 PM,23/07/24 1:45:00 PM,,,23/07/24 1:45:00 PM,23/07/24 1:45:00 PM,45.843
