Corelation ID,Module Name,Data Received by Platform,On-prem Workflow Start,On-prem Workflow End,Source De-id Start,Source De-id End,On-prem Module Start,On-prem Module End,Results De-id Start,Results De-id End,Upload Time (seconds),Cloud Workflow Start,Cloud Workflow End,RMA Source Dispatcher Start,RMA Source Dispatcher End,DICOM Source Dispatcher Start,DICOM Source Dispatcher End,Cloud Module Start,Cloud Module End,RMA Results Dispatcher Start,RMA Results Dispatcher End,Cloud Results Dispatch Start,Cloud Results Dispatch End,Download Time (seconds)
43aac363-87ba-4563-b5f2-bad6f9b292ad,CTA,24/07/24 5:50:59 AM,24/07/24 5:51:11 AM,24/07/24 5:54:41 AM,24/07/24 5:51:12 AM,24/07/24 5:53:10 AM,24/07/24 5:51:12 AM,24/07/24 5:53:57 AM,24/07/24 5:54:01 AM,24/07/24 5:54:41 AM,8.662,"2024-07-24 05:53:19,2024-07-24 05:55:10","2024-07-24 05:55:12,2024-07-24 05:56:00",,,,,,,,,,,
204278ee-0def-4355-8336-131243640cf7,ANRTN,24/07/24 5:50:59 AM,24/07/24 5:51:11 AM,24/07/24 6:03:15 AM,24/07/24 5:53:22 AM,24/07/24 5:53:36 AM,24/07/24 5:51:15 AM,24/07/24 6:03:13 AM,,,10.874,24/07/24 5:53:47 AM,24/07/24 6:02:50 AM,,,,,24/07/24 5:53:47 AM,24/07/24 6:02:43 AM,,,24/07/24 6:02:47 AM,24/07/24 6:02:48 AM,27.57
1755d8cf-b77d-437c-8b8d-eb488f6df692,NEURO3D,24/07/24 5:50:59 AM,24/07/24 5:51:11 AM,24/07/24 5:59:43 AM,24/07/24 5:53:10 AM,24/07/24 5:53:22 AM,24/07/24 5:51:15 AM,24/07/24 5:59:38 AM,,,11.623,24/07/24 5:53:33 AM,24/07/24 6:00:42 AM,,,,,24/07/24 5:53:34 AM,24/07/24 5:58:04 AM,,,24/07/24 5:58:06 AM,24/07/24 5:58:14 AM,89.17
