Corelation ID,Module Name,Data received by platform,On-prem Workflow Start,On-prem Workflow End,Source De-id Start,Source De-id End,On-prem Module Start,On-prem Module End,Results De-id Start,Results De-id End,Upload Time (seconds),Cloud Workflow Start,Cloud Workflow End,RMA Source Dispatcher Start,RMA Source Dispatcher End,DICOM Source Dispatcher Start,DICOM Source Dispatcher End,Cloud Module Start,Cloud Module End,RMA Results Dispatcher Start,RMA Results Dispatcher End,Cloud Results Dispatch Start,Cloud Results Dispatch End,Download Time (seconds)
1abbcb1d-cbd8-4fd1-a648-430862cf12fe,HYPODENSITY,23/07/24 12:24:33 PM,23/07/24 12:25:36 PM,23/07/24 12:35:16 PM,23/07/24 12:27:13 PM,23/07/24 12:27:53 PM,23/07/24 12:25:43 PM,23/07/24 12:35:08 PM,23/07/24 12:35:10 PM,23/07/24 12:35:16 PM,1.295,"2024-07-23 12:27:55,2024-07-23 12:35:24","2024-07-23 12:28:08,2024-07-23 12:35:28",,,,,,,,,,,
453e5b8e-7620-494e-96f1-e5efc3df1989,ASPECTS,24/07/24 12:24:33 PM,23/07/24 12:25:36 PM,23/07/24 12:32:16 PM,23/07/24 12:25:39 PM,23/07/24 12:25:58 PM,23/07/24 12:25:39 PM,23/07/24 12:32:09 PM,23/07/24 12:32:10 PM,23/07/24 12:32:16 PM,2.392,"2024-07-23 12:26:00,2024-07-23 12:32:21","2024-07-23 12:26:09,2024-07-23 12:32:25",,,,,,,,,,,
bacb810b-d1d0-4aae-9ab8-f654d9a5382f,ICH,25/07/24 12:24:33 PM,23/07/24 12:25:36 PM,23/07/24 12:33:07 PM,23/07/24 12:26:11 PM,23/07/24 12:26:36 PM,23/07/24 12:25:42 PM,23/07/24 12:32:43 PM,23/07/24 12:32:47 PM,23/07/24 12:33:07 PM,1.232,"2024-07-23 12:26:38,2024-07-23 12:33:08","2024-07-23 12:26:45,2024-07-23 12:33:12",,,,,,,,,,,
42fee823-df0c-42c8-aca9-2c4dd282ebc1,SDH,26/07/24 12:24:33 PM,23/07/24 12:25:36 PM,23/07/24 12:31:36 PM,23/07/24 12:25:58 PM,23/07/24 12:26:11 PM,23/07/24 12:25:40 PM,23/07/24 12:31:14 PM,23/07/24 12:31:19 PM,23/07/24 12:31:36 PM,1.517,"2024-07-23 12:26:12,2024-07-23 12:31:38","2024-07-23 12:26:20,2024-07-23 12:31:42",,,,,,,,,,,
0eb0d3e3-a9bd-451f-942e-31d5fbe38b40,HYPERDENSITY,27/07/24 12:24:33 PM,23/07/24 12:25:36 PM,23/07/24 12:36:04 PM,23/07/24 12:26:37 PM,23/07/24 12:27:13 PM,23/07/24 12:25:42 PM,23/07/24 12:35:57 PM,23/07/24 12:36:01 PM,23/07/24 12:36:04 PM,1.231,"2024-07-23 12:27:14,2024-07-23 12:36:15","2024-07-23 12:27:22,2024-07-23 12:36:19",,,,,,,,,,,
